Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com,1,0,1,70%,Standard,USD,3.19,3.19,0.39,0.06,2.19,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com,15,1,14,70%,Standard,USD,2.99,2.99,0.39,-0.06,28.70,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com,2,0,2,35%,Standard,USD,2.99,2.99,0.39,N/A,2.10,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com,3,1,2,70%,Standard,USD,3.16,3.16,0.39,0.06,3.94,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com,2,0,2,70%,Kindle MatchBook,USD,2.99,0.00,0.39,0.06,0.00,
Unbearable,W.H. Vega,B00LYM5BBQ,Amazon.com,1,0,1,70%,Standard,USD,3.99,3.99,0.40,0.06,2.75,
Unimaginable,Sophia Kenzie,B00UGE4GC8,Amazon.com,1,0,1,70%,Standard,USD,2.99,2.99,0.36,0.05,2.06,
A Family Affair: My Bad Boy Foster Brother,Abriella Blake,B00TVN74X8,Amazon.co.uk,1,0,1,70%,Standard,GBP,1.66,1.66,0.33,0.03,1.14,
Beautiful PRICK,Sophia Kenzie,B00YB9S904,Amazon.co.uk,1,0,1,70%,Standard,GBP,1.66,1.66,0.35,0.03,1.14,
Beauty and the Running Back,Colleen Masters,B01IO9TIII,Amazon.co.uk,2,0,2,70%,Standard,GBP,1.99,1.99,0.56,0.06,2.70,
Betrayal of Cupids (The Blood of Cupids MC),Sophia Kenzie,B00OSUYTNM,Amazon.co.uk,32,0,32,70%,Standard,GBP,2.49,2.49,0.85,0.08,54.43,
Billionaire Badboy,Sophia Kenzie,B00SUJG2OG,Amazon.co.uk,1,0,1,70%,Standard,GBP,1.66,1.66,0.36,0.04,1.13,
Damaged In-Law,Colleen Masters,B00UT0FNYE,Amazon.co.uk,1,0,1,70%,Standard,GBP,2.49,2.49,0.40,0.04,1.72,
Death of Cupids (The Blood of Cupids MC),Sophia Kenzie,B00R1OU0QM,Amazon.co.uk,23,0,23,70%,Standard,GBP,3.32,3.32,0.96,0.10,52.44,
Faster Dirtier (A Team Ferrelli Novel) (New Adult Sports Romance),Colleen Masters,B00P8FU2NC,Amazon.co.uk,3,0,3,70%,Standard,GBP,1.99,1.99,0.41,0.04,4.36,
Hard Fought (A Stepbrother Warriors Novel),Celia Loren,B01CIZM03Y,Amazon.co.uk,1,0,1,70%,Standard,GBP,2.49,2.49,0.34,0.03,1.72,
Hard Tackle (A Stepbrother Warriors Novel),Celia Loren,B0194AO264,Amazon.co.uk,1,0,1,70%,Standard,GBP,2.49,2.49,0.33,0.03,1.72,
Hunter (Campus Kings): A Football Secret Baby Novel,Celia Loren,B01KVYMPGG,Amazon.co.uk,1,0,1,70%,Standard,GBP,2.49,2.49,0.34,0.03,1.72,
Pucking Beast (A Second Chance Sports Romance),Colleen Masters,B01MXFS2RN,Amazon.co.uk,1,0,1,70%,Standard,GBP,2.49,2.49,0.45,0.04,1.72,
Quarterback Bait (A Stepbrother Romance),Celia Loren,B016VAQO7A,Amazon.co.uk,1,0,1,70%,Standard,GBP,1.66,1.66,0.40,0.04,1.13,
Stepbrother Backstage,Colleen Masters,B017XYOM2C,Amazon.co.uk,3,0,3,70%,Standard,GBP,2.49,2.49,0.78,0.08,5.07,
Stepbrother Bastard,Colleen Masters,B011HEI19O,Amazon.co.uk,6,0,6,70%,Standard,GBP,1.66,1.66,0.48,0.05,6.78,
Stepbrother Billionaire,Colleen Masters,B00REOVTAA,Amazon.co.uk,3,0,3,70%,Standard,GBP,3.32,3.32,0.42,0.04,6.90,
Stepbrother Broken,Colleen Masters,B014LRBCBI,Amazon.co.uk,2,0,2,70%,Standard,GBP,1.66,1.66,0.43,0.04,2.26,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.co.uk,2,0,2,70%,Standard,GBP,2.49,2.49,0.39,0.04,3.44,
Beauty and the Running Back,Colleen Masters,B01IO9TIII,Amazon.de,1,0,1,70%,Standard,EUR,2.51,2.51,0.56,0.07,1.71,
Hard Tackle (A Stepbrother Warriors Novel),Celia Loren,B0194AO264,Amazon.de,1,0,1,70%,Standard,EUR,2.77,2.77,0.33,0.04,1.91,
Stepbrother Backstage,Colleen Masters,B017XYOM2C,Amazon.de,1,0,1,70%,Standard,EUR,2.51,2.51,0.78,0.09,1.69,
Stepbrother Bastard,Colleen Masters,B011HEI19O,Amazon.de,1,0,1,70%,Standard,EUR,2.49,2.49,0.48,0.06,1.70,
Stepbrother Bastard,Colleen Masters,B011HEI19O,Amazon.de,4,0,4,70%,Standard,EUR,2.51,2.51,0.48,0.06,6.86,
Stepbrother Broken,Colleen Masters,B014LRBCBI,Amazon.de,2,0,2,70%,Standard,EUR,2.51,2.51,0.43,0.05,3.44,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.de,2,0,2,70%,Standard,EUR,2.51,2.51,0.39,0.05,3.44,
Hunter (Campus Kings): A Football Secret Baby Novel,Celia Loren,B01KVYMPGG,Amazon.fr,1,0,1,70%,Standard,EUR,2.83,2.83,0.34,0.04,1.95,
Bearly Enough: Russet Falls Series,W.H. Vega,B00O5P9L1U,Amazon.ca,1,0,1,70%,Standard,CAD,4.45,4.45,0.39,0.06,3.07,
Cross Check (A Marriage Contract Novel),Colleen Masters,B01FEI4OAE,Amazon.ca,1,0,1,70%,Standard,CAD,3.99,3.99,0.59,0.09,2.73,
Hard Fought (A Stepbrother Warriors Novel),Celia Loren,B01CIZM03Y,Amazon.ca,1,0,1,70%,Standard,CAD,3.99,3.99,0.34,0.05,2.76,
Hunter (Campus Kings): A Football Secret Baby Novel,Celia Loren,B01KVYMPGG,Amazon.ca,1,0,1,70%,Standard,CAD,3.99,3.99,0.34,0.05,2.76,
Quarterback Bait (A Stepbrother Romance),Celia Loren,B016VAQO7A,Amazon.ca,1,0,1,70%,Standard,CAD,3.99,3.99,0.40,0.06,2.75,
Beauty and the Running Back,Colleen Masters,B01IO9TIII,Amazon.it,1,0,1,70%,Standard,EUR,2.45,2.45,0.56,0.07,1.67,
Beauty and the Running Back,Colleen Masters,B01IO9TIII,Amazon.in,1,0,1,70%,Standard,INR,999.00,999.00,0.56,3.91,696.56,
Damaged In-Law,Colleen Masters,B00UT0FNYE,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.40,0.06,5.50,
Destroying Beauty (Hell Hounds Motorcycle Club): Vegas Titans Series,Celia Loren,B00PJJ4Q8E,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.35,0.05,2.76,
Hard Tackle (A Stepbrother Warriors Novel),Celia Loren,B0194AO264,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.33,0.05,2.76,
Hunter (Campus Kings): A Football Secret Baby Novel,Celia Loren,B01KVYMPGG,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.34,0.05,5.52,
Naked Choke (A Stepbrother MMA Romance),Celia Loren,B0155P6UH6,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.35,0.05,2.76,
Pucking Beast (A Second Chance Sports Romance),Colleen Masters,B01MXFS2RN,Amazon.com.au,2,0,2,70%,Standard,AUD,4.99,4.99,0.45,0.07,6.88,
Quarterback Bait (A Stepbrother Romance),Celia Loren,B016VAQO7A,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.40,0.06,5.50,
Soak (A Navy SEAL Mormon Taboo Romance),Celia Loren,B01E6LIKSC,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.34,0.05,2.76,
Stepbrother Backstage,Colleen Masters,B017XYOM2C,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.78,0.12,2.71,
Stepbrother Bastard,Colleen Masters,B011HEI19O,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.48,0.07,5.48,
Stepbrother Billionaire,Colleen Masters,B00REOVTAA,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.42,0.06,5.50,
Stepbrother Broken,Colleen Masters,B014LRBCBI,Amazon.com.au,2,0,2,70%,Standard,AUD,3.99,3.99,0.43,0.06,5.50,
Stepbrother Untouchable,Colleen Masters,B00S7R0VKW,Amazon.com.au,1,0,1,70%,Standard,AUD,3.99,3.99,0.39,0.06,2.75,
Shot Caller (A Bad Boy's Baby Novel),Colleen Masters,B01BXGMSW2,Amazon.nl,1,0,1,70%,Standard,EUR,2.47,2.47,0.42,0.05,1.69,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
